lenovo|"Ноутбук Intel Core i5 1135G7/16 ГБ/512 Гб/15.6""/1920x1080/Intel Iris Xe Graphics/Windows"|//images.wbstatic.net/c252x336/new/19300000/19300009-1.jpg|87 291 ₽|-10%
lenovo|Ноутбук Intel Core i5 1135G7/16 ГБ/1024 Гб/14''/1920x1080/Intel Iris Xe Graphics/Windows 10 Home|//images.wbstatic.net/c252x336/new/19300000/19300010-1.jpg|160 191 ₽|-10%
lenovo|"Ноутбук Intel Core i7 10750H/16 ГБ/512 Гб/15.6""/1920x1080/NVIDIA GeForce GTX 1650Ti/Windows"|//images.wbstatic.net/c252x336/new/19300000/19300011-1.jpg|165 431 ₽|-12%
lenovo|"Ноутбук Intel Core i7 10750H/16 ГБ/1024 Гб/15.6""/1920x1080/NVIDIA GeForce GTX 1650Ti/Windows"|//images.wbstatic.net/c252x336/new/19300000/19300012-1.jpg|179 211 ₽|-13%
MSI|"Ноутбук Intel Core i7 10870H/16 ГБ/512 Гб/15.6""/1920x1080/NVIDIA GeForce RTX 3060/Windows"|//images.wbstatic.net/c252x336/new/19350000/19354022-1.jpg|168 340 ₽|-9%
MSI|"Ноутбук Intel Core i7 10870H/32 ГБ/1024 Гб/15.6""/1920 x 1080/NVIDIA GeForce RTX 3060/Windows"|//images.wbstatic.net/c252x336/new/19350000/19354024-1.jpg|181 990 ₽|-9%
MSI|Ноутбук Intel Core i5 1135G7/8 ГБ/512 Гб/14''/1920 x 1080/Intel Iris Xe Graphics/Windows|//images.wbstatic.net/c252x336/new/19350000/19354025-1.jpg|65 090 ₽|-7%
Gigabyte|Ноутбук Intel Core i7 10870H/16 ГБ/1024 Гб/17.3''/1920x1080/NVIDIA GeForce RTX 3060 Max-Q/Windows|//images.wbstatic.net/c252x336/new/19400000/19402516-1.jpg|145 590 ₽|-9%
Asus|Ноутбук Intel Core i3 1115G4/8 ГБ/256 Гб/13.3''/1920 x 1080/Intel Iris Plus Graphics/Windows 10 Home|//images.wbstatic.net/c252x336/new/19660000/19664138-1.jpg||0%
MSI|Ноутбук Intel Core i5 10210U/8 ГБ/512 Гб/14/1920 x 1080/Intel UHD Graphics/DOS|//images.wbstatic.net/c252x336/new/20840000/20841871-1.jpg||0%
MSI|Ноутбук Intel Core i7 1165G7/8 ГБ/512 Гб/1/1920 x 1080/Intel Iris Xe Graphics/Windows 10 Home|//images.wbstatic.net/c252x336/new/20840000/20842825-1.jpg||0%
MSI|Ноутбук AMD Ryzen 7 4800H/16 ГБ/512 Гб/15.6/1920 x 1080/AMD Radeon RX 5500M/Windows 10 Home|//images.wbstatic.net/c252x336/new/20840000/20843602-1.jpg||0%
MSI|Ноутбук Intel Core i5 10300H/8 ГБ/512 Гб/17.3/1920 x 1080/NVIDIA GeForce GTX 1660Ti/Windows 10 Home|//images.wbstatic.net/c252x336/new/20840000/20844453-1.jpg||0%
MSI|Ноутбук Intel Core i7 1185G7/16 ГБ/1024 Гб/15.6/1920 x 1080/NVIDIA GeForce GTX 1650/Windows 10 Home|//images.wbstatic.net/c252x336/new/20840000/20845210-1.jpg||0%
Dell|Ноутбук Intel Core i5 10210U/8 ГБ/256 Гб/13.3''/1920x1080/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/12040000/12044837-1.jpg|89 431 ₽|-14%
lenovo|Ноутбук Intel Core i5 10210U/8 ГБ/256 Гб/13.3''/1920x1080/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/13300000/13300433-1.jpg|77 704 ₽|-9%
Dell|Ноутбук Intel Core i7 9750H/8 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1660Ti Max-Q/Windows||87 971 ₽|-17%
Acer|Ноутбук Intel Core i5 9300H/8 ГБ/1024 Гб/17.3''/1920x1080/NVIDIA GeForce GTX 1660Ti/Linux||89 871 ₽|-16%
Acer|Ноутбук Intel Core i5 1035G1/8 ГБ/256 Гб/14''/1920x1080/Intel UHD Graphics/Windows||60 891 ₽|-13%
MSI|Ноутбук Intel Core i5 10210U/16 ГБ/512 Гб/14''/1920x1080/NVIDIA GeForce GTX 1650/Windows||93 090 ₽|-5%
lenovo|Ноутбук Intel Core i5 1035G4/16 ГБ/512 Гб/14''/1920x1080/Intel Iris Plus Graphics/Windows||117 591 ₽|-16%
lenovo|Ноутбук Intel Core i7 1065G7/16 ГБ/1024 Гб/14''/1920x1080/Intel Iris Plus Graphics/Windows||163 391 ₽|-14%
lenovo|Ноутбук Intel Core i5 1035G4/16 ГБ/512 Гб/14''/3840x2160/Intel Iris Plus Graphics/Windows||134 934 ₽|-14%
lenovo|Ноутбук Intel Core i5 8265U/8 ГБ/512 Гб/14''/3840x2160/Intel UHD Graphics 620/Windows||132 431 ₽|-14%
Dell|Ноутбук Intel Core i9 9880H/16 ГБ/512 Гб/17.3''/1920x1080/NVIDIA GeForce RTX 2080 Max-Q/Linux||175 761 ₽|-19%
Acer|Ноутбук Intel Core i7 9750H/16 ГБ/1000 Гб/256 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1660Ti/Windows||117 591 ₽|-16%
Acer|Ноутбук Intel Core i7 9750H/16 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1660Ti/Linux|//images.wbstatic.net/c252x336/new/11730000/11734758-1.jpg|106 241 ₽|-15%
Acer|Ноутбук Intel Core i5 9300H/16 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce RTX 2060/Linux|//images.wbstatic.net/c252x336/new/11730000/11734763-1.jpg|103 191 ₽|-14%
Dell|Ноутбук Intel Core i7 1065G7/16 ГБ/512 Гб/13.4''/1920x1200/Intel Iris Plus Graphics/Windows|//images.wbstatic.net/c252x336/new/11830000/11834264-1.jpg|138 021 ₽|-14%
lenovo|Ноутбук Intel Core i5 9300HF/8 ГБ/1000 Гб/128 Гб/15.6''/1920x1080/NVIDIA GeForce RTX 2060/Windows|//images.wbstatic.net/c252x336/new/11910000/11913136-1.jpg|101 781 ₽|-13%
Dell|Ноутбук Intel Core i7 10510U/16 ГБ/512 Гб/13.3''/3840x2160/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/12040000/12044839-1.jpg|121 356 ₽|-13%
Dell|Ноутбук Intel Core i5 10210U/8 ГБ/512 Гб/13.3''/1920x1080/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/12040000/12044840-1.jpg|96 741 ₽|-14%
Dell|Ноутбук Intel Core i7 10710U/8 ГБ/512 Гб/13.3''/1920x1080/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/12040000/12044841-1.jpg|107 891 ₽|-17%
Acer|Ноутбук Intel Core i7 1065G7/16 ГБ/1024 Гб/14''/1920x1080/Intel Iris Plus Graphics/Linux|//images.wbstatic.net/c252x336/new/12070000/12077243-1.jpg|76 116 ₽|-13%
Acer|Ноутбук Intel Core i7 1065G7/16 ГБ/1024 Гб/14''/1920x1080/Intel Iris Plus Graphics/Windows|//images.wbstatic.net/c252x336/new/12070000/12077244-1.jpg|83 841 ₽|-14%
Acer|Ноутбук Intel Core i7 1065G7/16 ГБ/1024 Гб/14''/1920x1080/Intel Iris Plus Graphics/Windows|//images.wbstatic.net/c252x336/new/12070000/12077245-1.jpg|105 261 ₽|-13%
Acer|"Ноутбук Intel Core i5 1035G4/8 ГБ/512 Гб/13.5""/2256х1504/Intel Iris Plus Graphics/Windows"|//images.wbstatic.net/c252x336/new/12070000/12077246-1.jpg|69 266 ₽|-15%
Acer|"Ноутбук Intel Core i5 1035G4/8 ГБ/512 Гб/13.5""/2256х1504/Intel Iris Plus Graphics/Linux"|//images.wbstatic.net/c252x336/new/12070000/12077247-1.jpg|59 491 ₽|-15%
Acer|"Ноутбук Intel Core i7 1065G7/16 ГБ/512 Гб/13.5""/2256х1504/Intel Iris Plus Graphics/Windows"|//images.wbstatic.net/c252x336/new/12070000/12077248-1.jpg|81 891 ₽|-16%
Acer|Ноутбук Intel Core i7 7700HQ/16 ГБ/1024 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1060/Windows|//images.wbstatic.net/c252x336/new/12100000/12105769-1.jpg|145 281 ₽|-13%
Honor|"Ноутбук AMD Ryzen 5 3550H/8 ГБ/512 Гб/16.1""/1920x1080/Windows"|||0%
Acer|Ноутбук Intel Core i7 8750H/16 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1060/Windows|//images.wbstatic.net/c252x336/new/12100000/12105775-1.jpg|93 081 ₽|-13%
MSI|Ноутбук Intel Core i5 9300H/16 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1650 Max-Q/DOS||66 490 ₽|-5%
Dell|Ноутбук Intel Core i5 8265U/8 ГБ/512 Гб/15.6''/1920x1080/AMD Radeon Pro WX 2100/Windows|//images.wbstatic.net/c252x336/new/12120000/12124375-1.jpg|95 031 ₽|-12%
Honor|Ноутбук AMD Ryzen 5 3500U/8 ГБ/512 Гб/14''/1920x1080/AMD Radeon Vega 8/Windows|||0%
Acer|Ноутбук Intel Core i7 1065G7/16 ГБ/1024 Гб/14''/1920x1080/Intel Iris Plus Graphics/Windows|//images.wbstatic.net/c252x336/new/12120000/12124391-1.jpg|125 271 ₽|-13%
Huawei|Ноутбук AMD Ryzen 5 4500U/8 ГБ/512 Гб/14''/1920x1080/AMD Radeon RX Vega 6/Windows||56 990 ₽|-5%
Huawei|Ноутбук AMD Ryzen 5 4500U/8 ГБ/512 Гб/15.6''/1920x1080/AMD Radeon RX Vega 6/Windows||56 990 ₽|-5%
Acer|"Ноутбук Intel Core i7 1065G7/16 ГБ/512 Гб/13.5""/2256х1504/Intel Iris Plus Graphics G7/Windows"|//images.wbstatic.net/c252x336/new/12120000/12124392-1.jpg|108 306 ₽|-13%
Asus|Ноутбук Intel Core i5 10210U/8 ГБ/512 Гб/14''/1920x1080/NVIDIA GeForce MX350/Windows||62 991 ₽|-10%
Acer|Ноутбук Intel Core i5 8265U/8 ГБ/256 Гб/14''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12120000/12124394-1.jpg|85 686 ₽|-13%
Asus|Ноутбук Intel Core i5 10210U/8 ГБ/256 Гб/14''/1920x1080/Intel UHD Graphics/Windows||52 191 ₽|-10%
Acer|Ноутбук Intel Core i3 10110U/8 ГБ/256 Гб/14''/1920x1080/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/12120000/12124395-1.jpg|54 366 ₽|-13%
Asus|Ноутбук Intel Core i3 10110U/8 ГБ/256 Гб/14''/1920x1080/Intel HD Graphics 520/Windows||43 191 ₽|-10%
Acer|Ноутбук Intel Core i7 10510U/16 ГБ/512 Гб/15.6''/1920x1080/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/12120000/12124396-1.jpg|88 141 ₽|-14%
Huawei|"Ноутбук AMD Ryzen 5 3500U/16 ГБ/512 Гб/13""/2160x1440/AMD Radeon Vega 8/Windows"||66 490 ₽|-5%
Acer|Ноутбук Intel Core i7 10510U/8 ГБ/256 Гб/15.6''/1920x1080/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/12120000/12124397-1.jpg|80 901 ₽|-13%
MSI|"Ноутбук Intel Core i7 10870H/32 ГБ/1024 Гб/15.6""/1920 x 1080/NVIDIA GeForce RTX 3070 Max-Q/Windows"||200 190 ₽|-9%
Acer|Ноутбук Intel Core i5 10210U/8 ГБ/512 Гб/15.6''/1920x1080/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/12120000/12124398-1.jpg|71 801 ₽|-14%
Echips|"Ноутбук Intel Core i5 5257U/8 ГБ/256 Гб/15.6""/1920x1080/Intel HD Graphics 6000/Windows"|//images.wbstatic.net/c252x336/new/19220000/19221731-1.jpg|43 009 ₽|-21%
Acer|Ноутбук Intel Core i7 10510U/16 ГБ/1024 Гб/14''/1920x1080/NVIDIA GeForce MX250/Windows|//images.wbstatic.net/c252x336/new/12120000/12124399-1.jpg|141 091 ₽|-17%
Asus|Ноутбук Intel Core i7 10510U/16 ГБ/1024 Гб/14''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12920000/12924518-1.jpg|112 331 ₽|-18%
Dell|Ноутбук Intel Core i7 9750H/16 ГБ/1024 Гб/15.6''/3840x2160/NVIDIA GeForce GTX 1650 Max-Q/Windows|//images.wbstatic.net/c252x336/new/12130000/12133052-1.jpg|153 841 ₽|-15%
Asus|Ноутбук Intel Core i5 8265U/8 ГБ/512 Гб/14''/1920x1080/NVIDIA GeForce MX250/Windows|//images.wbstatic.net/c252x336/new/9960000/9963603-1.jpg|73 091 ₽|-14%
Dell|Ноутбук Intel Core i5 1035G1/8 ГБ/512 Гб/13.4''/1920x1200/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/12130000/12133053-1.jpg|123 051 ₽|-16%
Huawei|Ноутбук Intel Core i5 10210U/8 ГБ/512 Гб/14''/1920x1080/NVIDIA GeForce MX250/Windows|//images.wbstatic.net/c252x336/new/12680000/12688860-1.jpg|66 490 ₽|-5%
Dell|Ноутбук Intel Core i7 1065G7/16 ГБ/512 Гб/13.4''/1920x1200/Intel Iris Plus Graphics/Windows|//images.wbstatic.net/c252x336/new/12130000/12133054-1.jpg|136 526 ₽|-17%
lenovo|Ноутбук Intel Core i5 1035G1/8 ГБ/512 Гб/14''/Intel UHD Graphics/DOS|//images.wbstatic.net/c252x336/new/12980000/12988301-1.jpg|50 313 ₽|-9%
Huawei|Ноутбук Intel Core i7 10510U/16 ГБ/1024 Гб/13.9''/3000x2000/NVIDIA GeForce MX250/Windows|//images.wbstatic.net/c252x336/new/12130000/12139493-1.jpg|123 490 ₽|-5%
Dell|Ноутбук Intel Core i7 1065G7/16 ГБ/1024 Гб/13.4''/1920x1200/Intel Iris Plus Graphics/Windows|//images.wbstatic.net/c252x336/new/12130000/12133055-1.jpg|143 211 ₽|-16%
MSI|Ноутбук Intel Core i5 10300H/8 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1650Ti/Windows|//images.wbstatic.net/c252x336/new/15440000/15442557-1.jpg|79 040 ₽|-7%
MSI|Ноутбук Intel Core i7 10875H/16 ГБ/1024 Гб/15.6''/1920x1080/NVIDIA GeForce RTX 2080 Super Max-Q/Windows|//images.wbstatic.net/c252x336/new/13220000/13229281-1.jpg|191 391 ₽|-13%
